id,tweet_id,tweet_text,target
645,723609924542992384,لازم ندزلكم من عندنا كويتيه منقبه سيارتها كورلا وتكون عينه تجريبيه واذا اقتنعتوا راح اشيل شاربي بقزازه #قيادة_المرأة_السعودية,Women Driving
646,1010671927101403136,#المراه_السعوديه_تسوق بصصصصصصيح ابغا أسوِّق خخخخخخخخخخييييييععععععر؟,Women Driving
647,1010671461193920513,#المراه_السعوديه_تسوق الناس تتلفت بكل اشاره😂,Women Driving
648,1010673465102426112,ما محظوظ الا عادل الجبير! من يوم غد اصبح بامكانه قيادة السيارة *_^ #المراه_السعوديه_تسوق,Women Driving
649,1010673828907966466,#لن_تقودي لن تقود أمي لن تقود أختي لن تقود قريبتي أنا سأخدمهم بنفسي وبكل ما يطلبون . ولن أتزوج فتاة تقود السيارة أو تشترط ذلك,Women Driving
650,724865105054277635,ليش #لن_تقودي ماعم افهم من حقا تقود مو سيارة لازم تقود بلاد اكبر مثال #زنوبيا,Women Driving
651,724742191847989248,#لن_تقودي. ان شاء الله نقود حالنا حال شعوب العالم واكيد راح يكون فيه شروط مو عبث وانتو تعودتو الشارع لكم ليه لازم نشارككم ☺️☺️🌹,Women Driving
652,796257893901357056,#لن_تقودي نقود او لا وشدخلكم ياخي قاعدين على قلوبكم؟🙃,Women Driving
653,1010671899326779393,وسقتي وبعدين يعني ؟؟ بتدخلين الجنه مثلاً ؟ وبعدين وش هالسواقه الي آخر الليل ..! الله يستر على المسلمات العفيفات .. #المراه_السعوديه_تسوق,Women Driving
654,1010669204679397379,#المراه_السعوديه_تسوق قيادة المرأة للسيارة تمكنها من إغاثة نفسها وقضاء أمورها العاجلة دون انتظار وصول الآخرين لها، أو الاضطرار للركوب مع سائق غريب عنها. يتبع,Women Driving
655,756757170524487680,غير صحيح أن #قياده_المراه_للسياره_ضروره هذي وسيلة وليست ضروره فيه أهم منها قضايا المعنفات والمطلقات والأرامل والخريجات والمغتربات #لن_تقودي,Women Driving
656,889004191447998464,#معانات_بنات_الارطاويه_والقري ان شاء الله سيتم حل مشكلتكم بالطرق الصحيحه . . . . . . لكن بقولكم سر #لن_تقودي,Women Driving
657,724699847438307328,حنا مانبي نسوق اذا حليييتو المشااكل اللي تمر فيها المرأة ذيك اللحين طالبو بالسواقه #لن_تقودي,Women Driving
658,1010668916291629056,#المراه_السعوديه_تسوق الله يجعلها بداية خير للمرأه السعوديه.. وتكون فايده لها اكثر من ضررها الحمد لله على تطور المملكه لما فيها خير للبلاد والعباد اسأل الله ان يكفينا شر الفتن ما ظهر منها وما بطن 🌹,Women Driving
659,740746534434787328,شكل اللي سوت هـ الهشتاق تحلم كثيررر .. #سنسوق_فوق_خشومكم #لن_تقودي,Women Driving
660,796266614660415488,#لن_تقودي باختصار😄😜😎,Women Driving
661,724709545373736962,نقول كلمة العقل الله لايبدل النعمة اللي احنا فيها مايحتاج نسوق فيه من يسوق ويخدمنا #لن_تقودي,Women Driving
662,796273495952986112,#لن_تقودي م راح نقود 😂 بس عند الضروره اسفه لازم اقود غصبن عنك ي ورع,Women Driving
663,1010669140812673024,متى نروح البحرين ؟ #قيادة_المراة_السعوديه,Women Driving
664,1010672420473200641,الامن يوزع الورود للسيدات خلال بداية قيادتهم السيارة في السعودية . . #المرأة_السعودية_تسوق #SaudiWomenDriving,Women Driving
665,724875731340267520,#لن_تقودي ريم ممكن تسلفيني سيارتك بروح فيها زواج بنت عمي ليه وش فيها سيارتك رحت فيها زواج بنت خالتي قبل شهرين قد شافوها.,Women Driving
666,724752275533524992,#لن_تقودي مرأة جزء لا يتجزء من مجتمع و لها حقوق و واجبات حالها حال اي بشر! ماكو اي مشكلة و بنسبة للمضايقات فهي دليل على انعدام الوعي حضاري,Women Driving
667,724696085449584641,#لن_تقودي الحمدلله مافيه قياده والا كان يجونك نوعية اللي [ تدرين من وين شريت سيارتي ؟ من امريكا تلبيه ، بمليون وشوي] 🚶🏿,Women Driving
668,1011028753332559872,#المراه_السعوديه_تسوق عاد الحين بعض البنات تبي سيارة لون وردي والثانيه تبي لون بنفسجي ماكو ابيض واسود بس لا تشغلين العالم اللي عندج ؟؟ اوكى كذا مره !! .,Women Driving
669,724703449061961728,إذا كانت صلاة المرأه في بيتها أفضل من المسجد فكيف بإخراجها لوحدها بسيارتها #لن_تقودي,Women Driving
670,1010671598922354696,شعور جميييييل لايوصف بصراحه. 😍 #المراه_السعوديه_تسوق,Women Driving
671,1005771035222921216,واخيراً استلمت رخصتي السعودية 😎🇸🇦 الحمدلله🙏🏻 يوم تاريخي بكل المقاييس 😍 #قيادة_المرأة_للسيارة #قياده_المرأه_السعودية #١٠/١٠,Women Driving
672,724704518819209217,الله يكفينا شركن #لن_تقودي,Women Driving
673,1010999904662114304,ذحين لو رجعت وسقت السيارة حيدوني ورد وتصوير وفلاشات ولا حكمل على الفلاشات بس ؟ #المرأة_السعودية_تقود_السيارة,Women Driving
674,729561840297123841,#لن_تقودي سوف تقود سوف تقود غصباً عنكم سوف تقود,Women Driving
675,724699724427759618,#لن_تقودي صدقوني ال سعود ماعندهم مشكله لانهم واعيين بس البلا في الشعب متخلف والحكومه مابتفرض على الشعب شي كاره مثل ماقال محمد بن سلمان,Women Driving
676,796282494345707520,#لن_تقودي ع اساس ميتين ع سواقه مانبي نسوق😝,Women Driving
677,733109628486176768,#سأقود #لن_تقودي نحتاج أرشيف لحفظ التعليقات هنا للمستقبل لضحك على تفكير بعض أفراد مجتمعنا في التحريم والتنكير والتعجب #قيادة_المرأة_للسيارة,Women Driving
678,1010673253235548164,#المراه_السعوديه_تسوق يالليل الحين الاسر المنتجه يبيعون جنوط 🤦🏻‍♂️,Women Driving
679,796276878034272256,#لن_تقودي ، طموحنا اكبر من قيادة مركبه تجلب لنا المشاكل والإرهاق طموحنا نقود افكارنا للقمه وللنجاح ونحقق الاحلام ...✨,Women Driving
680,729598627979644928,#لن_تقودي لن تقودي لن تقودي واحفظي ارقام الهنودي,Women Driving
681,1010670666977284097,البنات السعوديات انتي ملكه وتضلين ملكه غصبن عليهم... حقدو عليك لانك ماتسوقين. لانك ملكه يخدمك ابوك اخوك زوجك ولدك تتركين العز مكرمه عفيفه محافضه ... والاختيار لك #لن_تقودي,Women Driving
682,1010998585461223429,كأني اشاهد سيناريو التغطيه الاعلاميه لموضوع السماح بدخول العائلات للملاعب يحدث الان ويتكرر في موضوع السماح بقيادة المرأه للسياره .. تضخيم اعلامي في البدايه ثم بعدها تأتي مسأله قناعة المجتمع وقبوله للفكره من عدمها .. #الرياض_الان #المراه_السعوديه_تسوق,Women Driving
683,1010669235801075712,#لن_تقودي راعي الهاشتاق تعال اتوطاك بسيارتي,Women Driving
684,756872463275950080,#لن_تقودي لن نرضى ولن تقودي الا اذا كنتِ تحلمين فمجرد صحيانك تعود حليمه لعادتها القديمه 😂,Women Driving
685,1009682479563853824,#قيادة_المرأه_السعوديه اخشى مااخشاه ان تزيد هذه الخطوه من نسبة العنوسه في مجتمعاتنا المحافظه والتي لن تتقبل هذا الوضع على الاقل لسنوات عديده واعتقد النسبه طاغيه بدون قياده والله يرحم الحال,Women Driving
686,992585274210254848,دام هذي اولتها ، ياساتر عن ااااخرتها ، عزيز السائق عندما تعبر الطريق ارجوا منك الحيطه والحذر عند عبورك للخط بعدم وجود سائقه ، وشكرا 🤣💨🏃🏻‍♂️ #قياده_المرأه_السعودية #نجران_الان,Women Driving
687,912828716165877761,#الملك_ينتصر_لقيادة_المرأة تحية عظيمة لنساء ٦ نوفمبر ١٩٩٠ تحققت أحلامكن جميعاً بعد ٢٧ سنة .. فعلاً الأحلام تؤجل ولكنها لاتموت..💚🇸🇦,Women Driving
688,724716828182888449,#لن_تقودي شكل الي مسوي التاق صاحب تكسي خايف يقعد ع الصفر !! 🚕,Women Driving
689,796259033636282368,زين الله يبشركم بالخير #لن_تقودي,Women Driving
690,724695690568470528,#لن_تقودي واللهي مادري وش اقول واللي معارض وصار القرار اول من يشتري سياره ل اهله هو 🙄💔.,Women Driving
691,842226680596951040,#لن_تقودي افهمي,Women Driving
692,811434007212724225,حرام حرام طيب ليش ما نسوق بالله كيف انا اروح السوق 🎶 #لن_تقودي,Women Driving
693,838438546667094018,صدقيني ياعزيزتي المرأه ياتاج راسي #لن_تقودي ولن تقودي وسرددين شيلة لن تقودي لن تقودي ستبقين ام الاجيال وجميع وسائل النقل ستخدمك معززه مكرمه😉,Women Driving
694,724709650453671938,مو ب الاسلوب هذا #لن_تقودي الا بتقود ( لا حجت البقره علئ قرن واحد ) 🌚🚶,Women Driving
695,724704968129822721,قادوكم لنا الله الموقده #لن_تقودي,Women Driving
696,729646283783319553,ليش السواقه بتجيب فتنه!!يعني الحين مافيه فتن بالمجمعات والاسواق!اغلب النساء مع السائق بدون محرم!اين انتم عن هذا الموضوع!! #لن_تقودي,Women Driving
